layer,table_name,table_purpose,grain,ordinal_position,column_name,data_type,nullable_in_sample,key_role,business_definition
Gold,dim_date,Reusable calendar attributes for consistent time analysis.,One calendar date,12,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,dim_date,Reusable calendar attributes for consistent time analysis.,One calendar date,13,source_system,VARCHAR(30),False,,Source system.
Gold,dim_employee,Current employee attributes for assisted store sales.,One current employee,1,employee_key,INT,False,Primary key,Employee key.
Gold,dim_employee,Current employee attributes for assisted store sales.,One current employee,2,employee_number,VARCHAR(20),False,Natural key,Employee number.
Gold,dim_employee,Current employee attributes for assisted store sales.,One current employee,3,employee_name,NVARCHAR(170),False,,Employee name.
Gold,dim_employee,Current employee attributes for assisted store sales.,One current employee,4,job_title,NVARCHAR(100),True,,Job title.
Gold,dim_employee,Current employee attributes for assisted store sales.,One current employee,5,store_code,VARCHAR(20),True,,Store code.
Gold,dim_employee,Current employee attributes for assisted store sales.,One current employee,6,active_flag,BIT,False,,Active flag.
Gold,dim_employee,Current employee attributes for assisted store sales.,One current employee,7,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,dim_employee,Current employee attributes for assisted store sales.,One current employee,8,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,dim_employee,Current employee attributes for assisted store sales.,One current employee,9,source_system,VARCHAR(30),False,,Source system.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,1,product_key,BIGINT,False,Primary key,Product key.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,2,sku,VARCHAR(30),False,Natural key,Stock keeping unit.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,3,product_name,NVARCHAR(200),False,,Product name.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,4,category_name,NVARCHAR(100),False,,Category name.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,5,brand,NVARCHAR(100),False,,Brand.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,6,supplier_code,VARCHAR(20),False,,Supplier code.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,7,unit_cost,"DECIMAL(12,2)",True,,Unit cost.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,8,list_price,"DECIMAL(12,2)",True,,List price.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,9,effective_start_date,DATE,False,,Effective start date.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,10,effective_end_date,DATE,False,,Effective end date.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,11,is_current,BIT,False,,Is current.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,12,record_hash,CHAR(64),True,,Record hash.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,13,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,14,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,dim_product,Product descriptive and cost history using SCD Type 2.,One historical version of one product,15,source_system,VARCHAR(30),False,,Source system.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,1,promotion_key,INT,False,Primary key,Promotion key.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,2,promotion_code,VARCHAR(30),False,Natural key,Promotion code.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,3,promotion_name,NVARCHAR(150),False,,Promotion name.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,4,discount_type,VARCHAR(30),True,,Discount type.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,5,discount_value,"DECIMAL(12,4)",True,,Discount value.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,6,start_date,DATE,True,,Start date.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,7,end_date,DATE,True,,End date.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,8,channel_code,VARCHAR(20),True,,Channel code.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,9,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,10,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,dim_promotion,Promotion definitions used on sales lines.,One promotion,11,source_system,VARCHAR(30),False,,Source system.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,1,store_key,INT,False,Primary key,Store key.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,2,store_code,VARCHAR(20),False,Natural key,Store code.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,3,store_name,NVARCHAR(150),False,,Store name.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,4,region,VARCHAR(30),False,,Region.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,5,state_code,VARCHAR(10),True,,State code.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,6,city,NVARCHAR(100),True,,City.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,7,open_date,DATE,True,,Open date.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,8,active_flag,BIT,False,,Active flag.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,9,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,10,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,dim_store,Current store attributes used by sales and operations facts.,One current store,11,source_system,VARCHAR(30),False,,Source system.
Gold,dim_supplier,Current supplier attributes and lead-time context.,One current supplier,1,supplier_key,INT,False,Primary key,Supplier key.
Gold,dim_supplier,Current supplier attributes and lead-time context.,One current supplier,2,supplier_code,VARCHAR(20),False,Natural key,Supplier code.
Gold,dim_supplier,Current supplier attributes and lead-time context.,One current supplier,3,supplier_name,NVARCHAR(150),False,,Supplier name.
Gold,dim_supplier,Current supplier attributes and lead-time context.,One current supplier,4,country_code,VARCHAR(10),True,,Country code.
Gold,dim_supplier,Current supplier attributes and lead-time context.,One current supplier,5,lead_time_days,INT,True,,Lead time days.
Gold,dim_supplier,Current supplier attributes and lead-time context.,One current supplier,6,active_flag,BIT,False,,Active flag.
Gold,dim_supplier,Current supplier attributes and lead-time context.,One current supplier,7,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,dim_supplier,Current supplier attributes and lead-time context.,One current supplier,8,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,dim_supplier,Current supplier attributes and lead-time context.,One current supplier,9,source_system,VARCHAR(30),False,,Source system.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,1,inventory_snapshot_key,BIGINT,False,Primary key,Inventory snapshot key.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,2,snapshot_date_key,INT,False,Foreign key,Snapshot date key.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,3,store_key,INT,False,Foreign key,Store key.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,4,product_key,BIGINT,False,Foreign key,Product key.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,5,quantity_on_hand,INT,False,,Quantity on hand.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,6,quantity_reserved,INT,False,,Quantity reserved.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,7,reorder_point,INT,False,,Reorder point.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,8,stockout_risk_flag,BIT,False,,Stockout risk flag.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,9,inventory_value_amount,"DECIMAL(18,2)",False,,Inventory value amount.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,10,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,11,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,fact_inventory_snapshot,"Point-in-time stock, risk, and value at store-product-date grain.",One snapshot date-store-product,12,source_system,VARCHAR(30),False,,Source system.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,1,marketing_spend_key,BIGINT,False,Primary key,Marketing spend key.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,2,spend_date_key,INT,False,Foreign key,Spend date key.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,3,campaign_key,INT,False,Foreign key,Campaign key.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,4,channel_key,INT,False,Foreign key,Channel key.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,5,spend_amount,"DECIMAL(16,2)",False,,Spend amount.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,6,impressions,BIGINT,False,,Impressions.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,7,clicks,BIGINT,False,,Clicks.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,8,currency_code,VARCHAR(3),False,,Currency code.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,9,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,10,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,fact_marketing_spend,"Spend, impressions, and clicks at date-campaign-channel grain.",One spend date-campaign-channel,11,source_system,VARCHAR(30),False,,Source system.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,1,return_key,BIGINT,False,Primary key,Return key.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,2,return_id,VARCHAR(40),False,Degenerate source key,Return identifier.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,3,order_item_id,BIGINT,False,,Order item identifier.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,4,return_date_key,INT,False,Foreign key,Return date key.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,5,customer_key,BIGINT,False,Foreign key,Customer key.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,6,product_key,BIGINT,False,Foreign key,Product key.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,7,store_key,INT,False,Foreign key,Store key.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,8,return_quantity,INT,False,,Return quantity.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,9,refund_amount,"DECIMAL(16,2)",False,,Refund amount.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,10,return_reason,NVARCHAR(100),False,,Return reason.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,11,currency_code,VARCHAR(3),False,,Currency code.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,12,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,13,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,fact_returns,Returned units and refunds at return-record grain.,One accepted return record,14,source_system,VARCHAR(30),False,,Source system.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,1,sales_key,BIGINT,False,Primary key,Sales key.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,2,order_item_id,BIGINT,False,Degenerate source key,Order item identifier.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,3,order_id,BIGINT,False,,Order identifier.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,4,order_number,VARCHAR(30),False,,Order number.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,5,order_date_key,INT,False,Foreign key,Order date key.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,6,customer_key,BIGINT,False,Foreign key,Customer key.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,7,product_key,BIGINT,False,Foreign key,Product key.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,8,store_key,INT,False,Foreign key,Store key.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,9,employee_key,INT,False,Foreign key,Employee key.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,10,promotion_key,INT,False,Foreign key,Promotion key.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,11,channel_key,INT,False,Foreign key,Channel key.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,12,quantity,INT,False,,Quantity.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,13,gross_sales_amount,"DECIMAL(16,2)",False,,Gross sales amount.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,14,discount_amount,"DECIMAL(16,2)",False,,Discount amount.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,15,net_sales_amount,"DECIMAL(16,2)",False,,Net sales amount.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,16,tax_amount,"DECIMAL(16,2)",False,,Tax amount.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,17,unit_cost_amount,"DECIMAL(16,2)",False,,Unit cost amount.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,18,cost_of_goods_sold,"DECIMAL(16,2)",False,,Cost of goods sold.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,19,gross_profit_amount,"DECIMAL(16,2)",False,,Gross profit amount.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,20,currency_code,VARCHAR(3),False,,Currency code.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,21,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,22,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,fact_sales,"Sales quantity, revenue, cost, discount, tax, and profit at order-item grain.",One valid order item,23,source_system,VARCHAR(30),False,,Source system.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,1,shipment_key,BIGINT,False,Primary key,Shipment key.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,2,shipment_id,BIGINT,False,Degenerate source key,Shipment identifier.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,3,order_id,BIGINT,False,,Order identifier.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,4,ship_date_key,INT,False,Foreign key,Ship date key.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,5,promised_date_key,INT,False,Foreign key,Promised date key.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,6,delivery_date_key,INT,False,Foreign key,Delivery date key.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,7,customer_key,BIGINT,False,Foreign key,Customer key.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,8,store_key,INT,False,Foreign key,Store key.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,9,carrier,NVARCHAR(100),False,,Carrier.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,10,delivery_days,INT,False,,Delivery days.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,11,on_time_flag,BIT,False,,On time flag.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,12,shipping_cost,"DECIMAL(16,2)",False,,Shipping cost.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,13,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,14,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,fact_shipments,"Delivery timing, service, and shipping cost at shipment grain.",One shipment,15,source_system,VARCHAR(30),False,,Source system.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,1,web_session_key,BIGINT,False,Primary key,Web session key.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,2,session_id,BIGINT,False,Degenerate source key,Session identifier.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,3,session_date_key,INT,False,Foreign key,Session date key.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,4,customer_key,BIGINT,False,Foreign key,Customer key.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,5,campaign_key,INT,False,Foreign key,Campaign key.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,6,channel_key,INT,False,Foreign key,Channel key.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,7,session_count,INT,False,,Session count.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,8,duration_seconds,INT,False,,Duration seconds.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,9,page_view_count,INT,False,,Page view count.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,10,add_to_cart_count,INT,False,,Add to cart count.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,11,converted_flag,BIT,False,,Converted flag.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,12,converted_order_id,BIGINT,True,,Converted order identifier.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,13,load_timestamp_utc,DATETIME,False,,Load timestamp utc.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,14,batch_id,VARCHAR(80),False,,Batch identifier.
Gold,fact_web_sessions,Session engagement and conversion outcomes at session grain.,One web session,15,source_system,VARCHAR(30),False,,Source system.
